iter	Passed	Remaining
442	2091	269
443	2095	264
444	2100	259
445	2105	254
446	2110	250
447	2114	245
448	2119	240
449	2124	236
450	2128	231
451	2133	226
452	2137	221
453	2141	217
454	2146	212
455	2151	207
456	2155	202
457	2159	198
458	2164	193
459	2169	188
460	2173	183
461	2178	179
462	2183	174
463	2188	169
464	2193	165
465	2198	160
466	2203	155
467	2207	150
468	2212	146
469	2217	141
470	2222	136
471	2227	132
472	2231	127
473	2236	122
474	2240	117
475	2245	113
476	2249	108
477	2254	103
478	2259	99
479	2264	94
480	2269	89
481	2274	84
482	2279	80
483	2283	75
484	2288	70
485	2292	66
486	2297	61
487	2302	56
488	2306	51
489	2311	47
490	2316	42
491	2321	37
492	2326	33
493	2331	28
494	2335	23
495	2341	18
496	2346	14
497	2350	9
498	2355	4
499	2361	0
