iter	Logloss
0	0.6416365484
1	0.5930233299
2	0.5418296648
3	0.5110803527
4	0.4711406387
5	0.4341729185
6	0.4163606353
7	0.3910521986
8	0.3723949777
9	0.3532562256
10	0.3393398772
11	0.3263667692
12	0.3129348993
13	0.3053184818
14	0.2888970776
15	0.2775575632
16	0.2669991466
17	0.2577646796
18	0.2513277048
19	0.2404086152
20	0.2349084872
21	0.2287921608
22	0.2222619933
23	0.2160263299
24	0.209068132
25	0.2034237585
26	0.1979833823
27	0.1922278835
28	0.1880732266
29	0.1808491882
30	0.1779521098
31	0.1737107488
32	0.1712555336
33	0.1665873424
34	0.1632182041
35	0.1584457445
36	0.1541891484
37	0.1522603733
38	0.1486988602
39	0.1462144228
40	0.1415649485
41	0.1412164801
42	0.140850697
43	0.1401080669
44	0.139878175
45	0.1392395994
46	0.1363349748
47	0.132250159
48	0.1310532828
49	0.1279240665
50	0.1261303863
51	0.1259590458
52	0.1254461176
53	0.1229227369
54	0.1213884324
55	0.1197891235
56	0.1190887404
57	0.1166766395
58	0.1131905529
59	0.1117779028
60	0.1116730164
61	0.1110914949
62	0.1093236501
63	0.1075413071
64	0.1059552724
65	0.1051341499
66	0.1047806071
67	0.1041402728
68	0.1032250663
69	0.1029830172
70	0.1018064505
71	0.1003388497
72	0.1000476255
73	0.09996645919
74	0.09994990506
75	0.09986095488
76	0.0990829646
77	0.0966693486
78	0.09514355288
79	0.09430299444
80	0.09383126137
81	0.09172488299
82	0.09093892463
83	0.08956561579
84	0.08908347846
85	0.08757857445
86	0.0871893446
87	0.08629059123
88	0.08465649257
89	0.08389150316
90	0.08374052553
91	0.08293816159
92	0.08133957171
93	0.08133037959
94	0.08059290116
95	0.08001819504
96	0.07876731896
97	0.07851267307
98	0.07816538113
99	0.07688937083
100	0.07601679745
101	0.07560309294
102	0.0746190793
103	0.07368768116
104	0.07227113908
105	0.07216687663
106	0.0716815485
107	0.07143731281
108	0.07136111987
109	0.07073596111
110	0.07008802111
111	0.06981225771
112	0.06886036597
113	0.06828827427
114	0.06766376911
115	0.06751836497
116	0.06714380567
117	0.06645799203
118	0.06541541507
119	0.06516135147
120	0.06483852826
121	0.06471594695
122	0.06350715138
123	0.06327601162
124	0.06284643631
125	0.06260854656
126	0.06211855404
127	0.06192957204
128	0.0608495433
129	0.06041138789
130	0.06022885284
131	0.06017988567
132	0.06011963485
133	0.0593255658
134	0.05915869953
135	0.05908787808
136	0.0587298313
137	0.05861341768
138	0.05857156296
139	0.05845652785
140	0.05764180478
141	0.05681174566
142	0.05658516334
143	0.05604065393
144	0.05493160497
145	0.05470512366
146	0.05466893752
147	0.05385810638
148	0.05362766777
149	0.05353931772
150	0.05267015499
151	0.05226184572
152	0.05156868195
153	0.05074533718
154	0.05056940358
155	0.04990111853
156	0.04953247142
157	0.04940640518
158	0.04935042955
159	0.04864179902
160	0.0484536162
161	0.04780722407
162	0.04758754623
163	0.04667682588
164	0.0465917617
165	0.04654712915
166	0.04644708247
167	0.04633342291
168	0.04518567142
169	0.04504730545
170	0.04497929451
171	0.04424666764
172	0.04416093202
173	0.04358647546
174	0.04356024198
175	0.04352976006
176	0.0433614202
177	0.04300515303
178	0.0429827194
179	0.04295358628
180	0.0425996513
181	0.04192396859
182	0.0417478092
183	0.04123836292
184	0.0407092549
185	0.04005429752
186	0.03997507422
187	0.03995576306
188	0.03969024349
189	0.03967185332
190	0.03913115861
191	0.03876138848
192	0.03839109546
193	0.03784848448
194	0.03778296616
195	0.03768749178
196	0.03730959313
197	0.03729288452
198	0.03681213165
199	0.03617151207
200	0.03562587073
201	0.03515945268
202	0.03459398323
203	0.03456239017
204	0.03414839153
205	0.03411001877
206	0.03397367305
207	0.03385197114
208	0.03338746638
209	0.03298456424
210	0.03252538045
211	0.03241787373
212	0.03211515492
213	0.03204446715
214	0.0315670982
215	0.03156083841
216	0.03154222245
217	0.03151396279
218	0.03139447126
219	0.03097342256
220	0.03058730925
221	0.03023653833
222	0.03021871858
223	0.03004912498
224	0.03002634672
225	0.02973905902
226	0.0297228733
227	0.02970810768
228	0.02968769133
229	0.02939433695
230	0.02898119989
231	0.02859805455
232	0.02847080587
233	0.02838334116
234	0.0283031939
235	0.02799398357
236	0.02798445277
237	0.0278294287
238	0.0274524659
239	0.02739644868
240	0.02732008046
241	0.02730446218
242	0.02698135376
243	0.0269655602
244	0.02696124044
245	0.0269519592
246	0.02672353489
247	0.02670734619
248	0.02669243501
249	0.02659014527
250	0.02642901887
251	0.02609361666
252	0.02600590239
253	0.02571381067
254	0.0257067101
255	0.02570278845
256	0.02539755325
257	0.02539026254
258	0.02534092104
259	0.02533723112
260	0.02531625029
261	0.02531263464
262	0.02510468908
263	0.02509853922
264	0.02470056142
265	0.02468991502
266	0.02433913816
267	0.0243202771
268	0.02431367714
269	0.02430046533
270	0.02420729194
271	0.02419483179
272	0.02418453597
273	0.02418146104
274	0.02394981028
275	0.02366914779
276	0.02338332031
277	0.02337759975
278	0.02337454264
279	0.02307508593
280	0.02306964167
281	0.02304106264
282	0.02278816366
283	0.02277685771
284	0.02248209065
285	0.02247658251
286	0.02246772463
287	0.02246294586
288	0.02245250298
289	0.02226057082
290	0.02205204592
291	0.02184980606
292	0.02166418717
293	0.02144600521
294	0.0214435512
295	0.02144064265
296	0.02131295576
297	0.0213083493
298	0.02130371165
299	0.02129926711
300	0.02123521793
301	0.0209845635
302	0.02092189432
303	0.02091754337
304	0.02091517107
305	0.02091094787
306	0.0207664157
307	0.02059386155
308	0.02042347026
309	0.02026516032
310	0.02002962356
311	0.01977747029
312	0.01953903834
313	0.01942487521
314	0.01942067429
315	0.01934450809
316	0.01924273975
317	0.01923874234
318	0.01923473156
319	0.01905786954
320	0.01903788843
321	0.01903599593
322	0.01899280726
323	0.01899089397
324	0.01880326969
325	0.01862132289
326	0.01861778895
327	0.01857618974
328	0.01857248942
329	0.01835954375
330	0.01835321117
331	0.01814381727
332	0.01802052441
333	0.01800859457
334	0.01800503983
335	0.01799806108
336	0.01799268366
337	0.01791754393
338	0.01788926942
339	0.01788260855
340	0.01765551225
341	0.01747240233
342	0.01735332525
343	0.01734653217
344	0.01734018177
345	0.01733694344
346	0.01720366374
347	0.0170722498
348	0.0170505693
349	0.01700623236
350	0.01692377221
351	0.01692087702
352	0.01682533728
353	0.01672194234
354	0.01672083121
355	0.01671476453
356	0.01669068797
357	0.01668524668
358	0.0165798107
359	0.0164839798
360	0.01648099846
361	0.01640051102
362	0.01637255588
363	0.01636962207
364	0.01634693443
365	0.01634193432
366	0.01628704012
367	0.01621246041
368	0.01617065174
369	0.01616932076
370	0.01616829727
371	0.01613081876
372	0.01612816867
373	0.01611071435
374	0.01610944576
375	0.01610419015
376	0.01602618048
377	0.01589579597
378	0.01577087058
379	0.01566070634
380	0.01556731162
381	0.0155647878
382	0.01547930322
383	0.01547815495
384	0.01532644201
385	0.01524360752
386	0.01524249638
387	0.01523841282
388	0.01523447631
389	0.01518630981
390	0.01502940068
391	0.01491909978
392	0.01478240943
393	0.01477841648
394	0.01467011502
395	0.01466495597
